kind,name,latitude,longitude,color
避難所,宮川小学校,34.6722262,135.1472888,#ff00ff
避難所,池田小学校,34.6678811,135.1449296,#ff00ff
避難所,西代中学校,34.6681814,135.1396686,#ff00ff
避難所,長田高校,34.6702422,135.1435322,#ff00ff
避難所,蓮池小学校,34.662435,135.1432128,#ff00ff
避難所,神戸常盤大学,34.6654958,135.1411825,#ff00ff
避難所,長田小学校,34.6725142,135.1428822,#ff00ff
避難所,高取台中学校,34.6713811,135.1372353,#ff00ff
避難所,育英高校,34.6684842,135.1348078,#ff00ff
避難所,五位の池小学校,34.6660659,135.1363515,#ff00ff
避難所,御蔵小学校,34.6663688,135.1550418,#ff00ff
避難所,真野小学校,34.6570313,135.1540769,#ff00ff
避難所,長田中学校,34.6614128,135.1531092,#ff00ff
避難所,長田南小学校,34.6618374,135.1498543,#ff00ff
避難所,駒ヶ林中学校,34.6551358,135.1434603,#ff00ff
避難所,真陽小学校,34.6555025,135.1512872,#ff00ff
避難所,ふたば学舎,34.6517707,135.146261,#ff00ff
避難所,駒ケ林小学校,34.6500314,135.1414645,#ff00ff
避難所,若宮小学校,34.6463436,135.1314996,#ff00ff
避難所,鷹取中学校,34.6479475,135.1326031,#ff00ff
避難所,南須磨公民館,34.6488167,135.1333241,#ff00ff
避難所,西須磨小学校,34.6466586,135.1204206,#ff00ff
避難所,須磨一の谷プラザ,34.6411794,135.1060922,#ff00ff
避難所,北須磨小学校,34.6526467,135.1152711,#ff00ff
避難所,だいち小学校,34.6542553,135.1342833,#ff00ff
避難所,太田中学校,34.6576629,135.1329026,#ff00ff
避難所,東須磨小学校,34.654805,135.1276478,#ff00ff
避難所,須磨体育館,34.6507528,135.1289669,#ff00ff
避難所,飛松中学校,34.6582739,135.1257339,#ff00ff
避難所,高倉台小学校,34.6562628,135.1041192,#ff00ff
避難所,高倉中学校,34.6536575,135.1074356,#ff00ff
避難所,板宿小学校,34.6630653,135.1331303,#ff00ff
避難所,多井畑小学校,34.6688778,135.0943419,#ff00ff
避難所,友が丘中学校,34.6731275,135.0994969,#ff00ff
避難所,多井畑自治会館,34.6608772,135.0931745,#ff00ff
避難所,横尾小学校,34.6704253,135.1115681,#ff00ff
避難所,横尾中学校,34.6728241,135.1157451,#ff00ff
避難所,妙法寺小学校,34.6760865,135.1172147,#ff00ff
避難所,神戸星城高校,34.6820128,135.1162619,#ff00ff
避難所,南落合小学校,34.6763078,135.1014661,#ff00ff
避難所,竜が台小学校,34.6745411,135.0911614,#ff00ff
避難所,竜が台中学校,34.6755908,135.0882228,#ff00ff
避難所,菅の台小学校,34.6721939,135.0836983,#ff00ff
避難所,花谷小学校,34.6800732,135.1012968,#ff00ff
避難所,東落合中学校,34.6823986,135.0994494,#ff00ff
避難所,西落合小学校,34.6819375,135.0892339,#ff00ff
避難所,北須磨文化センター,34.6839355,135.0954409,#ff00ff
